book_name,level,lesson_number,lesson_title,article,german,word_type,persian,english,plural,verb_forms,example_de,example_fa,collocation_de,collocation_fa
Starten Wir,A1,1,Super!,,sich vorstellen,Verb,معرفی کردن,to introduce oneself,,stellte sich vor | sich vorgestellt,Ich möchte mich vorstellen.,می‌خواهم خودم را معرفی کنم.,sich jemandem vorstellen,خود را به کسی معرفی کردن
Starten Wir,A1,1,Super!,,heißen,Verb,نام داشتن,to be called,,hieß | geheißen,Wie heißen Sie?,نام شما چیست؟,,
Starten Wir,A1,1,Super!,,sein,Verb,بودن,to be,,war | ist gewesen,Ich bin Student.,من دانشجو هستم.,im Urlaub sein,در تعطیلات بودن
Starten Wir,A1,1,Super!,,buchstabieren,Verb,هجی کردن,to spell,,buchstabierte | buchstabiert,Können Sie das bitte buchstabieren?,می‌توانید لطفاً هجی کنید؟,den Namen buchstabieren,نام را هجی کردن
Starten Wir,A1,1,Super!,🔵 der,Name,Noun,نام,name,die Namen,,Der Name ist Müller.,نام میلر است.,der Vor- und Nachname,نام و نام خانوادگی
Starten Wir,A1,1,Super!,🔵 der,Vorname,Noun,نام کوچک,first name,die Vornamen,,Mein Vorname ist Anna.,نام کوچک من آنا است.,der Vorname,نام کوچک
Starten Wir,A1,1,Super!,🔵 der,Nachname,Noun,نام خانوادگی,last name,die Nachnamen,,Ihr Nachname ist Schmidt.,نام خانوادگی شما اشمیت است.,der Nachname,نام خانوادگی
Starten Wir,A1,1,Super!,🔴 die,Handynummer,Noun,شماره موبایل,mobile number,die Handynummern,,Was ist Ihre Handynummer?,شماره موبایل شما چیست؟,die Handynummer angeben,شماره موبایل دادن
Starten Wir,A1,1,Super!,🔴 die,Telefonnummer,Noun,شماره تلفن,phone number,die Telefonnummern,,Die Telefonnummer ist falsch.,شماره تلفن اشتباه است.,die Telefonnummer wählen,شماره تلفن گرفتن
Starten Wir,A1,1,Super!,🔴 die,E-Mail-Adresse,Noun,آدرس ایمیل,email address,die E-Mail-Adressen,,Meine E-Mail-Adresse ist neu.,آدرس ایمیل من جدید است.,die E-Mail-Adresse schreiben,آدرس ایمیل نوشتن
Starten Wir,A1,1,Super!,🔴 die,Frau,Noun,خانم/زن,Mrs./woman,die Frauen,,"Guten Tag, Frau Müller.",روز بخیر خانم میلر.,,
Starten Wir,A1,1,Super!,🔵 der,Herr,Noun,آقا/مرد,Mr./man,die Herren,,Herr Weber ist hier.,آقای وبر اینجا است.,,
Starten Wir,A1,1,Super!,,Wer,Pronoun,چه کسی,who,,,Wer ist das?,این کیست؟,,
Starten Wir,A1,1,Super!,,Wie,Adverb,چطور,how,,,Wie geht es Ihnen?,حال شما چطور است؟,,
Starten Wir,A1,1,Super!,,Wo,Adverb,کجا,where,,,Wo wohnst du?,کجا زندگی می‌کنی؟,,
Starten Wir,A1,1,Super!,,Woher,Adverb,از کجا,where from,,,Woher kommen Sie?,از کجا می‌آیید؟,,
Starten Wir,A1,1,Super!,,wohnen,Verb,زندگی کردن,to live,,wohnte | gewohnt,Ich wohne in Berlin.,من در برلین زندگی می‌کنم.,in einer Stadt wohnen,در شهری زندگی کردن
Starten Wir,A1,1,Super!,,kommen,Verb,آمدن,to come,,kam | gekommen,Wann kommst du?,کی می‌آیی؟,aus einem Land kommen,اهل کشوری بودن
Starten Wir,A1,1,Super!,,aus,Preposition,از/اهل,from,,,Ich komme aus Deutschland.,من اهل آلمان هستم.,aus + Land/Stadt,از کشوری یا شهری
Starten Wir,A1,1,Super!,,mein,Determiner,مال من,my,,,Das ist mein Buch.,این کتاب من است.,,
Starten Wir,A1,1,Super!,,Guten Morgen,Phrase,صبح بخیر,good morning,,,"Guten Morgen, Herr Lehrer!",صبح بخیر آقای معلم!,,
Starten Wir,A1,1,Super!,,Guten Tag,Phrase,روز بخیر,good day,,,"""Guten Tag! Wie geht's?""",روز بخیر! حالت چطوره؟,,
Starten Wir,A1,1,Super!,,Guten Abend,Phrase,عصر بخیر,good evening,,,"Guten Abend, zusammen.",عصر بخیر همه.,,
Starten Wir,A1,1,Super!,,Hallo,Interjection,سلام,hello,,,"""Hallo! Wie geht's?""",سلام! حالت چطوره؟,,
Starten Wir,A1,1,Super!,,Hi,Interjection,سلام (غیررسمی),hi,,,"Hi, Tom!",سلام تام!,,
Starten Wir,A1,1,Super!,,Tschüss,Interjection,خداحافظ,bye,,,"Tschüss, bis morgen!",خداحافظ تا فردا!,,
Starten Wir,A1,1,Super!,🔴 die,Entschuldigung,Noun,ببخشید,excuse me,die Entschuldigungen,,"Entschuldigung, bitte.",ببخشید لطفاً.,,
Starten Wir,A1,1,Super!,,Danke,Interjection,ممنون,thanks,,,Danke für das Geschenk.,ممنون برای هدیه.,,
Starten Wir,A1,1,Super!,,Bitte,Interjection,خواهش می‌کنم,please,,,"Ja, bitte.",بله لطفاً.,,
Starten Wir,A1,1,Super!,,Wie bitte?,Phrase,ببخشید؟,pardon?,,,Wie bitte? Ich verstehe nicht.,ببخشید؟ متوجه نشدم.,,
Starten Wir,A1,1,Super!,🔵 der,Deutschkurs,Noun,دوره آلمانی,German course,die Deutschkurse,,Ich besuche einen Deutschkurs.,من در دوره آلمانی شرکت می‌کنم.,einen Deutschkurs machen,در دورهٔ آلمانی شرکت کردن
